customer_id,customer_name,email,gender,age,store_location,registration_date,Customer_Lifetime_Value,Total_Orders,Total_Revenue,Last_Purchase_Date,Average_Order_Value,Customer_Segment
CUST0001,Michael Moore,michael.moore19@pharmmail.com,Female,56,Suburban Wellness Center,2024-08-21,206.72000000000003,15,869.96,2026-03-09,57.99733333333334,VIP
CUST0002,Deepa Wilson,deepa.wilson46@pharmmail.com,Male,85,Downtown Pharmacy,2025-03-25,88.61,7,288.02,2025-07-30,41.145714285714284,Regular
CUST0003,Vikram Gonzalez,vikram.gonzalez41@pharmmail.com,Female,26,Suburban Wellness Center,2025-05-24,31.7,2,103.42,2026-01-05,51.71,At-Risk
CUST0004,David Joshi,david.joshi99@pharmmail.com,Male,59,Downtown Pharmacy,2024-10-13,84.54,13,643.93,2026-03-11,49.53307692307692,Regular
CUST0005,Patricia Singh,patricia.singh75@pharmmail.com,Other,45,Suburban Wellness Center,2025-05-18,50.18,5,208.58,2026-02-06,41.716,Regular
CUST0006,Thomas Rodriguez,thomas.rodriguez24@pharmmail.com,Male,35,Suburban Wellness Center,2025-01-14,162.93999999999997,16,851.71,2026-02-24,53.231875,Regular
CUST0007,Arjun Taylor,arjun.taylor46@pharmmail.com,Other,48,Suburban Wellness Center,2025-04-25,165.61999999999995,9,677.63,2026-03-12,75.29222222222222,Regular
CUST0008,Thomas Davis,thomas.davis10@pharmmail.com,Other,60,Metro Pharmacy Hub,2025-01-25,19.909999999999997,5,157.12,2025-12-23,31.424,At-Risk
CUST0009,Sanjay Garcia,sanjay.garcia77@pharmmail.com,Male,75,Eastside Medical Pharmacy,2024-09-09,111.15,10,521.0,2025-10-10,52.1,Regular
CUST0010,Joseph Rodriguez,joseph.rodriguez90@pharmmail.com,Other,50,Metro Pharmacy Hub,2026-03-26,118.66,11,447.58,2026-03-25,40.68909090909091,Regular
CUST0011,Linda Anderson,linda.anderson82@pharmmail.com,Unknown,78,Suburban Wellness Center,2025-04-30,30.750000000000014,8,386.03,2026-03-17,48.25375,At-Risk
CUST0012,Elizabeth Anderson,elizabeth.anderson52@pharmmail.com,Male,40,Suburban Wellness Center,2024-12-28,125.26,8,497.17,2026-01-26,62.14625,Regular
CUST0013,Michael Johnson,michael.johnson58@pharmmail.com,Other,58,Eastside Medical Pharmacy,2025-06-16,-8.130000000000003,2,227.13,2026-02-03,113.565,At-Risk
CUST0014,Mary Jackson,mary.jackson58@pharmmail.com,Female,22,Downtown Pharmacy,2024-08-30,80.65,9,377.09,2026-03-03,41.898888888888884,Regular
CUST0015,Jessica Mehta,jessica.mehta76@pharmmail.com,Other,48,Downtown Pharmacy,2025-12-13,81.87000000000002,6,358.20000000000005,2026-01-15,59.70000000000001,Regular
CUST0016,Nancy Williams,nancy.williams44@pharmmail.com,Male,48,Eastside Medical Pharmacy,2025-06-27,74.28999999999999,7,281.25,2026-01-26,40.17857142857143,Regular
CUST0017,Neha Lopez,neha.lopez58@pharmmail.com,Male,53,Metro Pharmacy Hub,2024-08-04,74.03,10,301.04,2026-03-20,30.104000000000003,Regular
CUST0018,Amit Gonzalez,amit.gonzalez45@pharmmail.com,Female,35,Eastside Medical Pharmacy,2024-08-19,94.94,6,382.15,2026-03-31,63.69166666666666,Regular
CUST0019,Neha Anderson,neha.anderson26@pharmmail.com,Male,62,Eastside Medical Pharmacy,2025-11-17,65.90999999999998,10,732.36,2026-03-23,73.236,Regular
CUST0020,Priya Moore,priya.moore53@pharmmail.com,Male,64,Metro Pharmacy Hub,2024-06-10,96.61000000000001,10,663.34,2026-01-23,66.334,Regular
CUST0021,Nancy Martinez,nancy.martinez76@pharmmail.com,Other,43,Suburban Wellness Center,2025-11-16,65.02000000000001,5,238.74,2026-03-20,47.748000000000005,Regular
CUST0022,Charles Moore,charles.moore73@pharmmail.com,Male,41,Metro Pharmacy Hub,2025-07-23,161.94,8,580.29,2026-03-28,72.53625,Regular
CUST0023,Jessica Patel,jessica.patel81@pharmmail.com,Other,43,Downtown Pharmacy,2024-11-07,59.47000000000001,10,480.35,2026-02-23,48.035000000000004,Regular
CUST0024,Priya Sharma,priya.sharma14@pharmmail.com,Other,34,Metro Pharmacy Hub,2024-11-08,53.769999999999996,10,407.93,2026-02-16,40.793,Regular
CUST0025,Vikram Joshi,vikram.joshi26@pharmmail.com,Male,44,Downtown Pharmacy,2025-04-05,65.6,4,254.67000000000002,2026-01-28,63.667500000000004,Regular
CUST0026,Charles Sharma,charles.sharma62@pharmmail.com,Female,65,Metro Pharmacy Hub,2024-07-28,106.46000000000001,13,537.03,2026-03-12,41.309999999999995,Regular
